RMSD=1033.756367892504, candidate=94
RMSD=1033.9877986199544, candidate=120
RMSD=1034.657075981695, candidate=68
RMSD=1035.624492282618, candidate=211
RMSD=1036.1600059176753, candidate=142
RMSD=1036.2748604688095, candidate=269
RMSD=1037.1146927882348, candidate=113
RMSD=1037.407380758997, candidate=119
RMSD=1037.765275652635, candidate=295
RMSD=1038.6024890392825, candidate=249
RMSD=1038.724356535764, candidate=188
RMSD=1038.9518437762824, candidate=246
RMSD=1039.1117586244284, candidate=217
RMSD=1039.121690254538, candidate=260
RMSD=1039.2580681902273, candidate=161
RMSD=1039.8429658271343, candidate=170
RMSD=1039.9836193134925, candidate=252
RMSD=1041.5381808944396, candidate=151
RMSD=1041.5989789383739, candidate=180
RMSD=1041.752759583659, candidate=299
RMSD=1041.8531295172136, candidate=227
RMSD=1043.089816176055, candidate=288
RMSD=1044.091807873999, candidate=293
RMSD=1046.1001952786153, candidate=244
RMSD=1046.6941971372864, candidate=234
RMSD=1048.1999536061987, candidate=148
RMSD=1049.0709449293497, candidate=213
RMSD=1049.8277658616837, candidate=216
RMSD=1049.910682407291, candidate=206
RMSD=1052.8659528978885, candidate=235
RMSD=1059.4108953303482, candidate=145
RMSD=1060.618097337889, candidate=282
RMSD=1061.0822309647974, candidate=297
RMSD=1067.9995281607835, candidate=232
RMSD=1068.2430676526783, candidate=202
